YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2024,345,18.49,82.79,1.39,15.41,0.0006310854410385864
2024,346,16.55,84.01,2.12,13.64,0.001420843768842409
2024,347,15.8,86.32,2.03,13.55,0.00015506670681572304
2024,348,16.23,84.86,1.88,13.88,0.00016949151640822214
2024,349,16.31,83.82,1.97,13.42,4.327442805625676e-05
2024,350,16.31,79.68,1.62,12.72,0.0
2024,351,17.18,71.21,1.04,11.59,0.00044175981824738555
2024,352,18.08,73.75,1.13,13.11,0.12151820929390551
2024,353,17.48,76.97,1.45,13.14,0.04755679699603318
2024,354,17.75,79.14,1.39,13.87,0.051231517330328165
2024,355,17.71,78.91,1.34,13.85,0.9517291638099531
2024,356,16.87,84.57,1.4,14.06,1.649186785844212
2024,357,16.82,83.63,1.69,13.83,0.0017381896913090515
2024,358,16.87,77.19,1.49,12.43,0.00023079696465921383
2024,359,17.45,75.95,1.31,12.78,0.09729173985430942
2024,360,17.37,74.97,1.31,12.61,0.26895780346015147
2024,361,18.25,79.33,1.77,14.31,0.000690587786512802
2024,362,17.77,82.89,2.0,14.63,5.4093037143887486e-05
2024,363,18.54,76.9,1.22,14.0,0.0004111070930400288
2024,364,19.12,78.01,1.39,14.88,0.0015632888272628922
2024,365,19.54,78.83,1.37,15.59,0.0009069599570861882
2024,366,17.38,80.79,2.03,13.76,0.00016768842048323117
2025,1,16.07,84.67,2.17,13.3,0.0015993508737829065
2025,2,16.34,85.42,2.18,13.77,0.0001730977280923188
2025,3,16.59,82.58,1.49,13.62,0.0006004327179949513
2025,4,17.54,81.45,1.03,14.24,0.0001190046844572665
2025,5,19.4,82.64,1.01,16.17,0.015104579591417238
2025,6,20.6,75.96,0.84,15.88,0.011592138281283809
2025,7,19.39,78.29,1.44,15.17,0.09775694006310855
2025,8,17.38,79.65,1.93,13.48,0.0005553551597547782
2025,9,15.3,77.22,1.87,10.9,0.0029210240007212407
2025,10,15.48,77.24,1.64,11.19,0.0003498016372160115
2025,11,17.46,70.92,1.26,11.54,0.004761990480346195
2025,12,19.67,57.8,0.83,10.71,0.05454742002452218
2025,13,19.01,65.89,0.98,12.18,0.012293544438153624
2025,14,18.1,75.07,1.98,13.17,0.0024576270724846736
2025,15,17.26,77.25,2.04,12.83,0.10696537891922106
2025,16,18.42,71.86,1.07,12.61,0.0600883501619185
2025,17,18.35,72.64,1.52,12.76,0.06754958385683375
2025,18,18.13,75.59,1.94,13.28,0.0014352686411828344
2025,19,17.46,72.15,2.05,11.89,0.00020735664262531555
2025,20,17.36,67.55,1.53,10.78,0.00015867291741795888
2025,21,18.03,67.1,1.21,11.51,0.0007645149116480346
2025,22,18.42,71.42,1.2,12.71,0.000407500893256401
2025,23,18.45,70.74,1.36,12.45,0.00042913809556437073
2025,24,18.61,68.99,1.26,12.32,0.003240173027767761
2025,25,18.61,70.16,1.31,12.78,0.005970068529751172
2025,26,17.26,66.52,1.67,10.22,0.0004237287937252073
2025,27,17.78,68.98,1.5,11.59,0.0016732778860439957
2025,28,18.62,63.58,1.1,10.79,0.00865488629570862
2025,29,18.72,56.23,1.21,9.07,0.01472412486548864
2025,30,20.22,68.87,1.53,14.1,0.016289217087630727
2025,31,22.26,78.7,1.67,18.28,0.01360259582149297
2025,32,21.65,72.06,1.23,15.61,0.004740353249188605
2025,33,20.79,67.48,1.44,13.97,0.026175621500180313
2025,34,20.53,65.98,1.62,13.25,0.001896862556437072
2025,35,19.92,58.72,1.67,10.72,0.0021799495084745763
2025,36,21.49,56.49,1.2,12.04,0.0026451496249549223
2025,37,22.29,64.16,1.53,14.63,0.016961773548142805
